prompt_id,sentence_type,n,schema_present_accuracy,primary_schema_accuracy,literal_metaphorical_accuracy,control_accuracy,control_false_positive_schema_rate,non_control_lm_accuracy
p_direct_schema_v1,control_weak_schema,594,0.41919191919191917,0.41919191919191917,0.41919191919191917,0.41919191919191917,0.5808080808080808,
p_direct_schema_v1,literal_spatial,603,1.0,0.8291873963515755,0.9983416252072969,,,0.9983416252072969
p_direct_schema_v1,metaphorical_spatial,603,1.0,0.9054726368159204,1.0,,,1.0
p_direct_schema_v2_abstention,control_weak_schema,594,0.7845117845117845,0.7845117845117845,0.7845117845117845,0.7845117845117845,0.21548821548821548,
p_direct_schema_v2_abstention,literal_spatial,603,1.0,0.8640132669983416,1.0,,,1.0
p_direct_schema_v2_abstention,metaphorical_spatial,603,0.9950248756218906,0.9286898839137645,0.9950248756218906,,,0.9950248756218906
p_structured_roles_v1,control_weak_schema,594,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,
p_structured_roles_v1,literal_spatial,603,0.9900497512437811,0.7794361525704809,0.9850746268656716,,,0.9850746268656716
p_structured_roles_v1,metaphorical_spatial,603,1.0,0.9021558872305141,1.0,,,1.0
p_structured_roles_v2_abstention,control_weak_schema,594,0.7828282828282829,0.7828282828282829,0.7828282828282829,0.7828282828282829,0.21717171717171718,
p_structured_roles_v2_abstention,literal_spatial,603,1.0,0.8192371475953566,0.9900497512437811,,,0.9900497512437811
p_structured_roles_v2_abstention,metaphorical_spatial,603,0.9983416252072969,0.9253731343283582,0.9983416252072969,,,0.9983416252072969
