prompt_id,provider,n,control_correct_n,control_false_positive_n,control_accuracy,control_false_positive_rate,control_accuracy_ci_low,control_accuracy_ci_high,control_false_positive_rate_ci_low,control_false_positive_rate_ci_high
p_direct_schema_v1,anthropic,198,9,189,0.045454545454545456,0.9545454545454546,0.024095044408936207,0.08411654329151802,0.915883456708482,0.9759049555910638
p_direct_schema_v1,google,198,59,139,0.29797979797979796,0.702020202020202,0.23860926828519083,0.36504032624834437,0.6349596737516556,0.7613907317148092
p_direct_schema_v1,openai,198,181,17,0.9141414141414141,0.08585858585858586,0.8668136220857192,0.9457047091205337,0.054295290879466274,0.1331863779142809
p_direct_schema_v2_abstention,anthropic,198,151,47,0.7626262626262627,0.23737373737373738,0.6987173699005573,0.816538157205847,0.18346184279415306,0.3012826300994427
p_direct_schema_v2_abstention,google,198,121,77,0.6111111111111112,0.3888888888888889,0.5417082748542982,0.6762844481522575,0.3237155518477425,0.45829172514570193
p_direct_schema_v2_abstention,openai,198,194,4,0.9797979797979798,0.020202020202020204,0.9492156201692783,0.9921165928135756,0.007883407186424475,0.05078437983072165
p_structured_roles_v1,anthropic,198,145,53,0.7323232323232324,0.2676767676767677,0.6666604558705452,0.7891425104158895,0.21085748958411066,0.3333395441294549
p_structured_roles_v1,google,198,94,104,0.47474747474747475,0.5252525252525253,0.4063348443626997,0.5441213549539922,0.45587864504600784,0.5936651556373004
p_structured_roles_v1,openai,198,193,5,0.9747474747474747,0.025252525252525252,0.9422568193468797,0.9891666334993126,0.010833366500687471,0.05774318065312027
p_structured_roles_v2_abstention,anthropic,198,143,55,0.7222222222222222,0.2777777777777778,0.6560557666182436,0.7799296793948676,0.22007032060513237,0.34394423338175634
p_structured_roles_v2_abstention,google,198,129,69,0.6515151515151515,0.3484848484848485,0.5828319271929965,0.7144308769068521,0.28556912309314797,0.4171680728070035
p_structured_roles_v2_abstention,openai,198,193,5,0.9747474747474747,0.025252525252525252,0.9422568193468797,0.9891666334993126,0.010833366500687471,0.05774318065312027
