provider,model_id,prompt_id,n,control_n,non_control_n,primary_schema_accuracy,lm_accuracy,schema_present_accuracy,control_accuracy,control_false_positive_schema_rate,non_control_lm_accuracy,non_control_primary_schema_accuracy,non_control_over_abstention_rate
anthropic,claude_sonnet_4_6,p_direct_schema_v1,600,198,402,0.61,0.685,0.685,0.045454545454545456,0.9545454545454546,1.0,0.8880597014925373,0.0
anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,600,198,402,0.8583333333333333,0.9216666666666666,0.9216666666666666,0.7626262626262627,0.23737373737373738,1.0,0.9054726368159204,0.0
anthropic,claude_sonnet_4_6,p_structured_roles_v1,600,198,402,0.8066666666666666,0.9116666666666666,0.9116666666666666,0.7323232323232324,0.2676767676767677,1.0,0.8432835820895522,0.0
anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,600,198,402,0.8133333333333334,0.9033333333333333,0.9083333333333333,0.7222222222222222,0.2777777777777778,0.9925373134328358,0.8582089552238806,0.0
google,gemini_2_5_flash,p_direct_schema_v1,600,198,402,0.705,0.7683333333333333,0.7683333333333333,0.29797979797979796,0.702020202020202,1.0,0.9054726368159204,0.0
google,gemini_2_5_flash,p_direct_schema_v2_abstention,600,198,402,0.8116666666666666,0.8716666666666667,0.8716666666666667,0.6111111111111112,0.3888888888888889,1.0,0.9104477611940298,0.0
google,gemini_2_5_flash,p_structured_roles_v1,600,198,402,0.7283333333333334,0.8266666666666667,0.8266666666666667,0.47474747474747475,0.5252525252525253,1.0,0.8532338308457711,0.0
google,gemini_2_5_flash,p_structured_roles_v2_abstention,600,198,402,0.8016666666666666,0.885,0.885,0.6515151515151515,0.3484848484848485,1.0,0.8756218905472637,0.0
openai,openai_gpt_5_4_mini,p_direct_schema_v1,600,198,402,0.8433333333333334,0.97,0.9716666666666667,0.9141414141414141,0.08585858585858586,0.9975124378109452,0.8084577114427861,0.0
openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,600,198,402,0.9083333333333333,0.9883333333333333,0.9883333333333333,0.9797979797979798,0.020202020202020204,0.9925373134328358,0.8731343283582089,0.007462686567164179
openai,openai_gpt_5_4_mini,p_structured_roles_v1,600,198,402,0.875,0.9766666666666667,0.9816666666666667,0.9747474747474747,0.025252525252525252,0.9776119402985075,0.8258706467661692,0.014925373134328358
openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,600,198,402,0.9133333333333333,0.985,0.99,0.9747474747474747,0.025252525252525252,0.9900497512437811,0.8830845771144279,0.0024875621890547263
