expected_schema_primary,prompt_id,n,control_n,non_control_n,primary_schema_accuracy,lm_accuracy,schema_present_accuracy,control_accuracy,control_false_positive_schema_rate,non_control_lm_accuracy,non_control_primary_schema_accuracy,non_control_over_abstention_rate
BLOCKAGE,p_direct_schema_v1,198,0,198,0.9646464646464646,0.9949494949494949,1.0,,,0.9949494949494949,0.9646464646464646,0.0
BLOCKAGE,p_direct_schema_v2_abstention,198,0,198,0.9747474747474747,1.0,1.0,,,1.0,0.9747474747474747,0.0
BLOCKAGE,p_structured_roles_v1,198,0,198,0.9545454545454546,0.9848484848484849,0.9848484848484849,,,0.9848484848484849,0.9545454545454546,0.015151515151515152
BLOCKAGE,p_structured_roles_v2_abstention,198,0,198,0.98989898989899,0.9696969696969697,1.0,,,0.9696969696969697,0.98989898989899,0.0
CONTAINER,p_direct_schema_v1,207,0,207,0.9178743961352657,1.0,1.0,,,1.0,0.9178743961352657,0.0
CONTAINER,p_direct_schema_v2_abstention,207,0,207,0.8985507246376812,1.0,1.0,,,1.0,0.8985507246376812,0.0
CONTAINER,p_structured_roles_v1,207,0,207,0.7729468599033816,1.0,1.0,,,1.0,0.7729468599033816,0.0
CONTAINER,p_structured_roles_v2_abstention,207,0,207,0.855072463768116,1.0,1.0,,,1.0,0.855072463768116,0.0
FORCE,p_direct_schema_v1,198,0,198,0.8535353535353535,1.0,1.0,,,1.0,0.8535353535353535,0.0
FORCE,p_direct_schema_v2_abstention,198,0,198,0.8787878787878788,1.0,1.0,,,1.0,0.8787878787878788,0.0
FORCE,p_structured_roles_v1,198,0,198,0.8434343434343434,1.0,1.0,,,1.0,0.8434343434343434,0.0
FORCE,p_structured_roles_v2_abstention,198,0,198,0.8838383838383839,1.0,1.0,,,1.0,0.8838383838383839,0.0
NONE,p_direct_schema_v1,594,594,0,0.41919191919191917,0.41919191919191917,0.41919191919191917,0.41919191919191917,0.5808080808080808,,,
NONE,p_direct_schema_v2_abstention,594,594,0,0.7845117845117845,0.7845117845117845,0.7845117845117845,0.7845117845117845,0.21548821548821548,,,
NONE,p_structured_roles_v1,594,594,0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2727272727272727,,,
NONE,p_structured_roles_v2_abstention,594,594,0,0.7828282828282829,0.7828282828282829,0.7828282828282829,0.7828282828282829,0.21717171717171718,,,
SOURCE_PATH_GOAL,p_direct_schema_v1,207,0,207,0.9903381642512077,1.0,1.0,,,1.0,0.9903381642512077,0.0
SOURCE_PATH_GOAL,p_direct_schema_v2_abstention,207,0,207,0.9710144927536232,0.9855072463768116,0.9855072463768116,,,0.9855072463768116,0.9710144927536232,0.014492753623188406
SOURCE_PATH_GOAL,p_structured_roles_v1,207,0,207,1.0,1.0,1.0,,,1.0,1.0,0.0
SOURCE_PATH_GOAL,p_structured_roles_v2_abstention,207,0,207,0.9951690821256038,0.9951690821256038,0.9951690821256038,,,0.9951690821256038,0.9951690821256038,0.004830917874396135
SUPPORT_BALANCE,p_direct_schema_v1,198,0,198,0.7878787878787878,1.0,1.0,,,1.0,0.7878787878787878,0.0
SUPPORT_BALANCE,p_direct_schema_v2_abstention,198,0,198,0.9141414141414141,1.0,1.0,,,1.0,0.9141414141414141,0.0
SUPPORT_BALANCE,p_structured_roles_v1,198,0,198,0.8484848484848485,0.9696969696969697,0.9848484848484849,,,0.9696969696969697,0.8484848484848485,0.015151515151515152
SUPPORT_BALANCE,p_structured_roles_v2_abstention,198,0,198,0.8535353535353535,1.0,1.0,,,1.0,0.8535353535353535,0.0
VERTICALITY,p_direct_schema_v1,198,0,198,0.6818181818181818,1.0,1.0,,,1.0,0.6818181818181818,0.0
VERTICALITY,p_direct_schema_v2_abstention,198,0,198,0.7373737373737373,1.0,1.0,,,1.0,0.7373737373737373,0.0
VERTICALITY,p_structured_roles_v1,198,0,198,0.6212121212121212,1.0,1.0,,,1.0,0.6212121212121212,0.0
VERTICALITY,p_structured_roles_v2_abstention,198,0,198,0.6515151515151515,1.0,1.0,,,1.0,0.6515151515151515,0.0
