provider,model_id,prompt_id,n,schema_present_accuracy,primary_schema_accuracy,lm_accuracy,control_accuracy,control_false_positive_rate,non_control_over_abstention_rate
anthropic,claude_sonnet_4_6,p_direct_schema_v1,600,0.685,0.61,0.685,0.015,0.315,0.0
anthropic,claude_sonnet_4_6,p_direct_schema_v2_abstention,600,0.9216666666666666,0.8583333333333333,0.9216666666666666,0.25166666666666665,0.07833333333333334,0.0
anthropic,claude_sonnet_4_6,p_structured_roles_v1,600,0.9116666666666666,0.8066666666666666,0.9116666666666666,0.24166666666666667,0.08833333333333333,0.0
anthropic,claude_sonnet_4_6,p_structured_roles_v2_abstention,600,0.9083333333333333,0.8133333333333334,0.9033333333333333,0.23833333333333334,0.09166666666666666,0.0
google,gemini_2_5_flash,p_direct_schema_v1,600,0.7683333333333333,0.705,0.7683333333333333,0.09833333333333333,0.23166666666666666,0.0
google,gemini_2_5_flash,p_direct_schema_v2_abstention,600,0.8716666666666667,0.8116666666666666,0.8716666666666667,0.20166666666666666,0.12833333333333333,0.0
google,gemini_2_5_flash,p_structured_roles_v1,600,0.8266666666666667,0.7283333333333334,0.8266666666666667,0.15666666666666668,0.17333333333333334,0.0
google,gemini_2_5_flash,p_structured_roles_v2_abstention,600,0.885,0.8016666666666666,0.885,0.215,0.115,0.0
openai,openai_gpt_5_4_mini,p_direct_schema_v1,600,0.9716666666666667,0.8433333333333334,0.97,0.3016666666666667,0.028333333333333332,0.0
openai,openai_gpt_5_4_mini,p_direct_schema_v2_abstention,600,0.9883333333333333,0.9083333333333333,0.9883333333333333,0.3233333333333333,0.006666666666666667,0.005
openai,openai_gpt_5_4_mini,p_structured_roles_v1,600,0.9816666666666667,0.875,0.9766666666666667,0.32166666666666666,0.008333333333333333,0.01
openai,openai_gpt_5_4_mini,p_structured_roles_v2_abstention,600,0.99,0.9133333333333333,0.985,0.32166666666666666,0.008333333333333333,0.0016666666666666668
